INFO 2022-12-20 18:06:11 (31222) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 11 - Nebel              - Fog                - https://affenknecht.com/lyrics/rammstein-nebel-lyric-with-english-translation/
INFO 2022-12-20 18:06:11 (31223) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - ----------------------------------------------------------------------------------------------------
INFO 2022-12-20 18:06:11 (31253) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Sehnsucht Lyrics
INFO 2022-12-20 18:06:11 (31328) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 1  - Tier               - Biest              - https://affenknecht.com/lyrics/rammstein-tier-lyric-with-english-translation/
INFO 2022-12-20 18:06:11 (31386) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 2  - Engel              - Angel              - https://affenknecht.com/lyrics/rammstein-engel-lyric-with-english-translation/
INFO 2022-12-20 18:06:11 (31440) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 3  - Sehnsucht          - Longing            - https://affenknecht.com/lyrics/rammstein-sehnsucht-lyric-with-english-translation/
INFO 2022-12-20 18:06:11 (31504) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 4  - Bestrafe Mich      - Punish Me          - https://affenknecht.com/lyrics/rammstein-bestrafe-mich-lyric-with-english-translation/
INFO 2022-12-20 18:06:11 (31567) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 5  - Du Hast            - You Have           - https://affenknecht.com/lyrics/rammstein-du-hast-with-english-translation/
INFO 2022-12-20 18:06:11 (31627) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 6  - Bück Dich          - Bend down          - https://affenknecht.com/lyrics/rammstein-buck-dich-lyric-with-english-translation/
INFO 2022-12-20 18:06:11 (31688) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 7  - Spiel Mit Mir      - Play with me       - https://affenknecht.com/lyrics/rammstein-spiel-mit-mir-lyric-with-english-translation/
INFO 2022-12-20 18:06:12 (31745) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 8  - Klavier            - Piano              - https://affenknecht.com/lyrics/rammstein-klavier-lyric-with-english-translation/
INFO 2022-12-20 18:06:12 (31803) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 9  - Alter Mann         - Old man            - https://affenknecht.com/lyrics/rammstein-alter-mann-lyric-with-english-translation/
INFO 2022-12-20 18:06:12 (31864) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 10 - Eifersucht         - Jealous            - https://affenknecht.com/lyrics/rammstein-eifersucht-lyric-with-english-translation/
INFO 2022-12-20 18:06:12 (31924) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 11 - Küss Mich          - Kiss me            - https://affenknecht.com/lyrics/rammstein-kuss-mich-lyric-with-english-translation/
INFO 2022-12-20 18:06:12 (31924) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - ----------------------------------------------------------------------------------------------------
INFO 2022-12-20 18:06:12 (31956) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Herzeleid Lyrics
INFO 2022-12-20 18:06:12 (32031) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 1  - Wollt Ihr Das Bett in Flammen Sehen - Do you want to see the bed in flames - https://affenknecht.com/lyrics/rammstein-wollt-ihr-das-bett-in-flammen-sehen-lyric-with-english-translation/
INFO 2022-12-20 18:06:12 (32094) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 2  - Der Meister        - The Master         - https://affenknecht.com/lyrics/rammstein-der-meister-lyric-with-english-translation/
INFO 2022-12-20 18:06:12 (32153) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 3  - Weisses Fleisch    - White Meat         - https://affenknecht.com/lyrics/rammstein-weisses-fleisch-lyric-with-english-translation/
INFO 2022-12-20 18:06:12 (32210) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 4  - Asche zu Asche     - Asches to asches   - https://affenknecht.com/lyrics/rammstein-asche-zu-asche-lyric-with-english-translation/
INFO 2022-12-20 18:06:12 (32273) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 5  - Seemann            - Sailor             - https://affenknecht.com/lyrics/rammstein-seemann-lyric-with-english-translation/
INFO 2022-12-20 18:06:12 (32329) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 6  - Du Reichst So Gut  - You smell so well  - https://affenknecht.com/lyrics/rammstein-du-riechts-so-gut-lyric-with-english-translation/
INFO 2022-12-20 18:06:12 (32390) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 7  - Das Alte Leid      - The old sorrow     - https://affenknecht.com/lyrics/rammstein-das-alte-leid-lyric-with-english-translation/
INFO 2022-12-20 18:06:12 (32449) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 8  - Heirate Mich       - Marry me           - https://affenknecht.com/lyrics/rammstein-heirate-mich-lyric-with-english-translation/
INFO 2022-12-20 18:06:12 (32536) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 9  - Herzeleid          - Heartache          - https://affenknecht.com/lyrics/rammstein-herzeleid-lyric-with-english-translation/
